. Otherwise the one is evident from them,-42.2951082837,-8.37160207012 -4.95488783977 -4.98400785065 -6.95281959492 -5.58635194097 -6.94093137485 -4.50450761241
. Uncouth Megaenetus is that the palace moats,-45.3532610975,-11.6674389361 -11.6674389361 0.0 -3.98722339819 -5.35922980663 -6.69304425558 -5.9788857649
. Roused me that point wherein men and,-42.0102510709,-10.5688266475 -7.48647990106 -3.73945112255 -7.48300643673 -6.41754894242 -3.79173683955 -2.52320118112
. Bids him as to the sake venture,-47.9844270833,-11.6674389361 -7.65557059573 -3.83873013996 -6.94793158821 -5.12258264554 -6.29854817884 -6.45362499889
. Crito he does belong rather than before,-42.1414089304,-10.9742917556 -8.16553470748 -4.52898539073 -5.51342874616 -6.85224256905 -1.00035888003 -5.10656688141
. appear to see alas that we are,-47.7372722558,-11.6674389361 -5.73860416386 -4.96590667341 -7.2584121506 -8.11861341582 -3.86793914054 -6.12035777543
. place Panactum which are not help stow,-45.8294463113,-10.9742917556 -7.3546821769 -5.36509696434 -2.91105651096 -6.11043372469 -6.51947171908 -6.59441345975
. wondrous shade Thro ,-22.5217394129,-10.9742917556 -3.91202300543 -3.81771232596 -3.81771232596
. bird pretty close behind along with whom,-41.6779948932,-11.6674389361 -5.89989735358 -3.37872452581 -4.22974919923 -5.52744298954 -5.70201025755 -5.27273163136
. omit is of Troy and then hinders,-48.0398266577,-11.6674389361 -7.00978172408 -4.67692229947 -6.96859836433 -4.95088885769 -4.76819715801 -7.99799931798
. Internally next the city celebrates our power,-47.1269508271,-11.6674389361 -6.93124048773 -3.37343458468 -5.31039288573 -7.62070508684 -8.02617019495 -4.197568651
. Personally engaged the whole shipload of all,-45.1817617776,-10.5688266475 -12.7660512248 -2.86479491611 -4.92025139956 -7.73892375744 -2.28360264208 -4.03931119018
. Unanimity seems to see that had shown,-44.2158297761,-11.6674389361 -8.6229164984 -0.661964253123 -4.96590667341 -6.51619072182 -5.29006452119 -6.49134817201
